"Študenti višješolskega in visokošolskega izobraževanja po: VRSTA IZOBRAŽEVANJA , ŠTUDIJSKO LETO"

" ";"2000";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013"
"Vrsta izobraževanja - SKUPAJ";91494;114794;115944;115445;114391;114873;107134;104003;97706;90622
"Višje strokovno";4760;14246;15831;16424;16263;16594;15595;14403;13406;13251
"Višješolsko (staro)";61;-;-;-;-;-;-;-;-;-
"Visokošolsko strokovno (prejšnje)";39671;36822;32411;25712;19331;10374;5679;2721;383;40
"Visokošolsko strokovno (1. bolonjska stopnja)";-;3486;6592;11200;15592;22748;24517;25374;24102;22210
"Visokošolsko univerzitetno (1. bolonjska stopnja)";-;3610;6871;11023;15435;24006;27626;29859;30380;28842
"Visokošolsko univerzitetno (prejšnje)";43080;48286;45552;41402;36239;25251;17943;12468;7620;2686
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";-;-;-;221;759;1688;2474;3211;3854;4399
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";-;1108;2107;2909;3391;6752;9236;11868;14355;16178
"Specialistièno";190;706;695;495;485;169;-;-;-;-
"Magistrsko in doktorsko (prejšnje)";3732;6485;5786;5733;6283;5180;1136;646;176;8
"Doktorsko (3. bolonjska stopnja)";-;45;99;326;613;2111;2928;3453;3430;3008

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam HREF=http://www.stat.si/doc/metod_pojasnila/09-037-MP.pdf "
"target=_blank) Metodološka pojasnila "
"- (seznam "
"HREF=http://www.stat.si/koledar.asp?pod=9&kon=36&DatumOd=1.1.2005&Dat-"
"umDo=Date() target=_blank) Koledar objav "
"- (seznam HREF=http://www.stat.si/metodologija_vpr.asp?pod=9&kon=36 "
"target=_blank) Vprašalniki statistiènega raziskovanja "

"Podatki vkljuèujejo specialistièni povisokošolski študij in "
"specialistièni pouniverzitetni študij."

"Študenti doktorskega študija niso vkljuèeni."

